namespace,deploymentName,containerName,targetCPU,targetMemory
aws-load-balancer-controller,aws-load-balancer-controller,aws-load-balancer-controller,15m,100Mi
cert-manager,cert-manager-cainjector,cert-manager-cainjector,15m,120Mi
cert-manager,cert-manager,cert-manager-controller,15m,100Mi
cert-manager,cert-manager-webhook,cert-manager-webhook,15m,100Mi
db-operator,db-operator,operator,49m,100Mi
db-operator,db-operator-webhook,webhook,15m,100Mi
descheduler,descheduler,descheduler,15m,100Mi
external-dns,external-dns,external-dns,15m,194Mi
featurehub,featurehub-dacha,featurehub-dacha,15m,1114Mi
featurehub,featurehub-edge,featurehub-edge,15m,1402Mi
karpenter,karpenter,controller,296m,334Mi
keda,keda-admission-webhooks,keda-admission-webhooks,15m,100Mi
keda,keda-operator-metrics-apiserver,keda-operator-metrics-apiserver,23m,100Mi
keda,keda-operator,keda-operator,35m,137Mi
kubecost,kubecost-cost-analyzer,aggregator,1038m,1181Mi
kubecost,kubecost-cost-analyzer,cloud-cost,11m,74Mi
kubecost,kubecost-cost-analyzer,cost-analyzer-frontend,11m,25Mi
kubecost,kubecost-cost-analyzer,cost-model,35m,308Mi
kubecost,kubecost-forecasting,forecasting,15m,174Mi
loki,loki,loki,23m,523Mi
loki,loki-chunks-cache,exporter,11m,50Mi
loki,loki-chunks-cache,memcached,11m,362Mi
loki,loki-gateway,nginx,15m,100Mi
loki,loki-results-cache,exporter,11m,50Mi
loki,loki-results-cache,memcached,11m,50Mi
metrics,burrow-monitor,burrow,63m,174Mi
metrics,kube-state-metrics,kube-state-metrics,15m,174Mi
metrics,metrics-server,metrics-server,15m,100Mi
metrics,prometheus-operator,kube-prometheus-stack,15m,100Mi
opentelemetry,opentelemetry-opentelemetry-collector,opentelemetry-collector,15m,100Mi
tracing,grafana-tempo-compactor,compactor,15m,1402Mi
tracing,grafana-tempo-distributor,distributor,15m,488Mi
tracing,grafana-tempo-gateway,nginx,15m,100Mi
tracing,grafana-tempo-querier,querier,15m,100Mi
tracing,grafana-tempo-query-frontend,query-frontend,15m,100Mi
vector,vector,vector,15m,100Mi
wb-ingst,convert-to-pdf-event-service,convert-to-pdf-event-service,15m,174Mi
wb-ingst,ingst-translation-service,ingst-translation-service,78m,2295Mi
wb-piston,access-control-service,access-control-service,15m,100Mi
wb-piston,entity-service,entity-service,15m,100Mi
wb-synthesis,synthesis-search-service,synthesis-search,15m,137Mi
wb-synthesis,synthesis-sum-pop-benthos,synthesis-sum-pop-benthos,15m,100Mi
wb-synthesis,synthesis-sum-v2-benthos-large,synthesis-sum-v2-benthos-large,15m,174Mi
wiz,wiz-integration-wiz-sensor,wiz-sensor,23m,259Mi
